year,oni_oct_dec,el_nino_strength,la_nina_strength,nao_oct_dec,ao_oct_dec,pna_oct_dec
1950,-0.6,0,0.6,-0.4766666666666667,-0.9407,-0.43333333333333335
1951,1.04,1.04,0,0.9333333333333333,0.5686,-0.2733333333333333
1952,0.04,0.04,0,-0.7633333333333333,-1.3849333333333333,0.85
1953,0.84,0.84,0,0.63,0.24486666666666668,1.6099999999999999
1954,-0.73,0,0.73,0.5633333333333334,0.24563333333333331,0.5599999999999999
1955,-1.67,0,1.67,-0.8633333333333333,-0.5623666666666667,-0.9066666666666666
1956,-0.43,0,0.43,0.4966666666666667,0.3579333333333333,-0.45333333333333325
1957,1.53,1.53,0,0.7233333333333334,0.11703333333333336,0.12000000000000001
1958,0.5,0.5,0,0.36666666666666664,-0.3090333333333334,0.3
1959,0.05,0.05,0,0.58,-0.5672333333333334,0.33333333333333337
1960,0.12,0.12,0,-0.7266666666666667,-0.6943666666666667,0.4066666666666666
1961,-0.19,0,0.19,-0.53,-0.4918333333333333,-1.1866666666666665
1962,-0.31,0,0.31,-0.38,-0.6131666666666667,0.5166666666666667
1963,1.37,1.37,0,-0.75,-0.1761,0.7166666666666667
1964,-0.82,0,0.82,0.19333333333333333,-0.08293333333333333,-0.6533333333333333
1965,1.97,1.97,0,0.030000000000000065,-0.26149999999999995,-0.32
1966,-0.18,0,0.18,-2.5460681017201263e-17,-0.7891666666666667,-0.8833333333333333
1967,-0.34,0,0.34,0.07333333333333332,0.42843333333333333,-0.10999999999999999
1968,0.73,0.73,0,-1.5433333333333332,-1.3263333333333334,-0.09999999999999998
1969,0.81,0.81,0,-0.19333333333333333,-0.4774,0.78
1970,-0.86,0,0.86,-0.9066666666666666,0.025833333333333333,-0.9966666666666667
1971,-0.96,0,0.96,0.32666666666666666,0.8091333333333334,-1.03
1972,2.09,2.09,0,0.6066666666666667,0.41633333333333333,-0.5
1973,-1.95,0,1.95,-0.6166666666666667,0.05260000000000001,-0.6733333333333333
1974,-0.75,0,0.75,0.48333333333333334,-0.30073333333333335,0.6466666666666666
1975,-1.55,0,1.55,-0.043333333333333356,0.6820666666666667,-0.4166666666666667
1976,0.86,0.86,0,-0.5033333333333334,-0.9885666666666667,1
1977,0.81,0.81,0,-0.18333333333333332,0.11883333333333332,0.08666666666666666
1978,-0.08,0,0.08,1.1333333333333333,0.7946666666666666,-0.24333333333333332
1979,0.52,0.52,0,0.41000000000000003,0.17549999999999996,0.5633333333333334
1980,0.11,0.11,0,-0.4533333333333333,-0.6465,1.1766666666666667
1981,-0.15,0,0.15,-0.5833333333333334,-0.8569666666666667,-0.10333333333333332
1982,2.18,2.18,0,0.88,0.47236666666666666,-0.22
1983,-1,0,1,-0.013333333333333327,0.2890666666666667,0.54
1984,-0.92,0,0.92,-0.043333333333333335,-0.26339999999999997,-0.6033333333333334
1985,-0.27,0,0.27,0.15,-0.7100000000000001,-0.6733333333333333
1986,1.14,1.14,0,1.61,0.8033666666666667,0.52
1987,1.25,1.25,0,0.21333333333333335,-0.38323333333333337,0.8633333333333334
1988,-1.8,0,1.8,-0.27,0.5588333333333334,0.47333333333333333
1989,-0.16,0,0.16,-0.33999999999999997,0.12693333333333331,-0.3266666666666666
1990,0.4,0.4,0,0.07,0.8191999999999999,-1.34
1991,1.21,1.21,0,0.25,0.5486666666666666,-0.5233333333333333
1992,-0.28,0,0.28,-0.03333333333333336,0.6592666666666667,-0.05666666666666667
1993,0.04,0.04,0,1.1366666666666667,0.11090000000000003,0.02
1994,1.01,1.01,0,0.5633333333333334,0.9490666666666667,-0.4033333333333333
1995,-1,0,1,-0.9533333333333333,-0.9251333333333334,0.040000000000000015
1996,-0.45,0,0.45,-0.7666666666666666,-0.46730000000000005,-0.8133333333333334
1997,2.4,2.4,0,-1.1866666666666665,-0.4773,0.6033333333333333
1998,-1.48,0,1.48,0.09999999999999999,0.06609999999999998,0.4
1999,-1.46,0,1.46,0.8200000000000001,0.5494,0.36666666666666664
2000,-0.75,0,0.75,-0.19333333333333333,-1.2063666666666666,0.74
2001,-0.35,0,0.35,-0.14666666666666664,0.0679,0.4766666666666667
2002,1.31,1.31,0,-1.1333333333333333,-1.5019,0.8266666666666667
2003,0.35,0.35,0,0.08,0.07926666666666667,0.03666666666666666
2004,0.66,0.66,0,0.27999999999999997,0.4643333333333333,-0.2733333333333333
2005,-0.57,0,0.57,-0.5766666666666667,-0.6154666666666666,0.5066666666666666
2006,0.94,0.94,0,-0.15683333333333332,0.5912999999999999,-0.12063333333333333
2007,-1.5,0,1.5,0.4552333333333333,0.22863333333333333,0.4608333333333333
2008,-0.55,0,0.55,-0.2132666666666667,0.8052666666666667,0.18566666666666667
2009,1.36,1.36,0,-0.9942333333333333,-1.4979333333333333,0.3251
2010,-1.64,0,1.64,-1.4637666666666667,-1.1579,-0.2752333333333334
2011,-1.09,0,1.09,1.425,1.4932666666666667,0.0674
2012,0.05,0.05,0,-0.8231999999999999,-1.1244,-1.0937
2013,-0.17,0,0.17,0.1888,1.2555666666666667,-0.794
2014,0.64,0.64,0,0.42163333333333336,-0.4172666666666667,0.7447
2015,2.57,2.57,0,1.4748666666666665,1.0463333333333333,0.7864666666666666
2016,-0.67,0,0.67,0.24196666666666666,-0.24726666666666666,0.8009666666666666
2017,-0.84,0,0.84,0.3542,0.18456666666666668,-0.5223666666666666
2018,0.9,0.9,0,0.4782666666666667,-0.19790000000000002,0.4373
2019,0.51,0.51,0,0.022233333333333345,-0.28783333333333333,-0.2999
2020,-1.27,0,1.27,0.5291333333333335,0.09289999999999994,0.22943333333333335
2021,-0.98,0,0.98,-0.7286666666666666,0.04843333333333333,-0.23429999999999995
2022,-0.92,0,0.92,-0.056966666666666665,-0.34486666666666665,-0.4099666666666667
2023,1.92,1.92,0,-0.1373666666666666,-0.22373333333333334,0.9881333333333333
2024,-0.37,0,0.37,0.1998666666666667,0.05063333333333334,0.5982333333333334
