year,total_rainfall_preseason,total_snowfall_preseason,avg_temp_preseason,total_precip_preseason,temp_range_preseason,nov_avg_temp,nov_total_precip,nov_total_snow,nov_temp_trend,dec_avg_temp,dec_total_precip,dec_total_snow,dec_temp_trend,dec_days_with_snow,oni_oct_dec,el_nino_strength,la_nina_strength,nao_oct_dec,ao_oct_dec,pna_oct_dec,snow_days_count,total_snowfall_winter,avg_winter_temp,min_winter_temp,total_winter_precip,days_with_snow,winter_season,is_test
1951,33.178,10.692,56.33404255319149,34.707,16.069787234042554,37.18333333333333,7.709,4.85,-5.142857142857142,31.585714285714285,3.895,5.8420000000000005,-24.957142857142856,6,1.04,1.04,0,0.9333333333333332,0.5686,-0.2733333333333333,4,56.937,32.72213740458015,-3.5,19.573,41,1951-1952,FALSE
1952,23.933,4.960999999999999,57.613617021276596,24.643,16.370212765957447,41.43666666666667,2.516,1.102,-6.342857142857142,31.523809523809522,3.768,3.501,-3.0857142857142854,5,0.04,0.04,0,-0.7633333333333333,-1.3849333333333331,0.85,3,38.584,34.77384615384615,-0.1,22.408,39,1952-1953,FALSE
1953,30.088,9.59,59.092340425531916,31.459,17.302127659574467,43.96,4.58,5.815,-2.3999999999999986,36.576190476190476,3.929,3.775,-12.399999999999999,2,0.84,0.84,0,0.63,0.24486666666666668,1.61,0,20.311,33.30307692307692,-9.9,14.703,36,1953-1954,FALSE
1954,38.562,7.359,55.500851063829785,39.614,14.731914893617022,39.803333333333335,5.764,1.9020000000000001,-3.9571428571428555,27.704761904761906,4.327,5.457,10.357142857142858,5,-0.73,0,0.73,0.5633333333333334,0.24563333333333331,0.5599999999999999,1,26.427,31.284615384615385,-9.4,13.886,32,1954-1955,FALSE
1955,35.608,6.5040000000000004,56.948085106382976,36.538,15.679148936170213,38.00666666666667,3.867,3.914,-13.92857142857143,23.271428571428572,0.667,2.59,-12.228571428571428,7,-1.67,0,1.67,-0.8633333333333333,-0.5623666666666667,-0.9066666666666666,6,79.982,28.855725190839696,-8.2,19.107,58,1955-1956,TRUE
1956,20.357,19.54,56.136170212765954,23.147,16.883829787234042,41.12,3.295,3.169,-20.08571428571429,32.87619047619047,3.468,16.371,-2.3999999999999986,5,-0.43,0,0.43,0.4966666666666667,0.3579333333333333,-0.45333333333333325,3,45.227,31.426923076923078,-18.5,11.813,42,1956-1957,FALSE
1957,20.893,4.824,58.344255319148935,21.582,16.772765957446808,43.32666666666667,4.252,0.028,-11.642857142857146,32.923809523809524,4.021,4.796,6.38571428571429,4,1.53,1.53,0,0.7233333333333334,0.11703333333333336,0.12,7,83.225,31.793076923076924,-7.3,22.5,45,1957-1958,FALSE
1958,26.032,7.36,55.157446808510635,27.084,15.60468085106383,41.25666666666667,3.4779999999999998,2.067,-9.828571428571422,19.047619047619047,1.3319999999999999,5.265,-8.285714285714285,8,0.5,0.5,0,0.36666666666666664,-0.3090333333333334,0.3,2,39.241,29.696923076923078,-4.3,15.496,36,1958-1959,FALSE
1959,31.236,3.362,58.733617021276594,31.718,15.508510638297873,40.70666666666666,5.995,1.736,-7.314285714285717,34.58571428571429,2.709,1.6260000000000001,-6.471428571428575,5,0.05,0.05,0,0.58,-0.5672333333333334,0.33333333333333337,5,54.847,30.84351145038168,-3.4,17.503,42,1959-1960,FALSE
1960,26.95,12.209,57.18851063829787,28.694,16.405106382978722,42.85333333333333,3.276,0,-3.6000000000000014,25.51904761904762,2.842,12.044,-12.257142857142856,6,0.12,0.12,0,-0.7266666666666667,-0.6943666666666667,0.4066666666666666,6,62.231,28.34307692307692,-10.3,15.402000000000001,40,1960-1961,TRUE
1961,25.637999999999998,19.209,58.23276595744681,28.38,15.223829787234044,41.04666666666667,3.494,8.516,-19.14285714285714,30.666666666666668,1.966,10.583,-9.785714285714288,7,-0.19,0,0.19,-0.53,-0.4918333333333333,-1.1866666666666663,2,44.068,30.34076923076923,-8.1,16.381,41,1961-1962,FALSE
1962,26.716,7.716,55.589787234042554,27.819,16.277021276595743,36.46666666666667,3.547,3.583,-3.9000000000000057,27.37142857142857,1.9460000000000002,1.487,-21.08571428571429,6,-0.31,0,0.31,-0.38,-0.6131666666666667,0.5166666666666667,4,51.537,29.142307692307693,-11,13.706999999999999,45,1962-1963,FALSE
1963,26.965,8.323,56.892765957446805,28.154,17.404255319148938,43.69,6.511,0.055,-5.157142857142858,21.14761904761905,2.17,8.213000000000001,-17.271428571428572,9,1.37,1.37,0,-0.75,-0.1761,0.7166666666666667,2,41.309,29.96259541984733,-8.8,15.009,42,1963-1964,FALSE
